track,artist,uri
Happenin' All Over Again,Lonnie Gordon,spotify:track:2HtFjMtFpWee0mUxaKOtEt
I Never Knew Love,Doug Stone,spotify:track:6XqmK1chyZI0FqM44k5IYH
I'm Comin' Over,Chris Young,spotify:track:0H04yVa3DJxoXbLBpAb7iV
I'm Not The Only One,Sam Smith,spotify:track:5hO5U3Djps5hAUYHYlu56m
If I Ever Lose My Faith In You,Sting,spotify:track:05vL56xSoxthM0r7IfcQjo
In A Real Love,Phil Vassar,spotify:track:3u8m4E4pJn43otDkw2wXBs
Inside (This Heart Of Mine),Fats Waller,spotify:track:4zFjrnyTvPIG5gN5gxSKPD
It's Not Over Yet,for KING & COUNTRY,spotify:track:6goM4VNCDajmBCqDNDarVe
Lights Up,Harry Styles,spotify:track:4jAIqgrPjKLTY9Gbez25Qb
Metal,Chris Duke and the Royals,spotify:track:1Mg0m8LWtLlnhACkEuRZpT
Se...,Djavan,spotify:track:0PgsB53yhlKs8D19LgYU4i
Seaside Town,Baths,spotify:track:62KQC4uabIDTLGYTRgEq1l
Sexy Can I,Ray J & Yung Berg,spotify:track:0DdpxWfVvUGgkJv5536tiF
Shape Of My Heart,Backstreet Boys,spotify:track:35o9a4iAfLl5jRmqMX9c1D
Slow Dance With a Stranger,Danger Radio,spotify:track:2sKnNXGGbwLjMECe2dUpT5
Sodade,Cesária Evora,spotify:track:7xzMrUmlooPa1Fmp88hlYc
There's No Other Way,Blur,spotify:track:7qk4uPeLpaKhp8lwas1sBb
This Feeling,The Chainsmokers Featuring Kelsea Ballerini,spotify:track:4NBTZtAt1F13VvlSKe6KTl
Torn,Natalie Imbruglia,spotify:track:0KDaN0HL3TcJVTbXlQCEsS
Total Eclipse Of The Heart,Nicki French,spotify:track:2hPOOLM9Oefyy43eAXR4Hf
Trouble,P!nk,spotify:track:0qrGSKtrEj7PJAGVBFE9vG
We Just Disagree,Billy Dean,spotify:track:5kg3IDs4L6N4zHNrAsuQgz
You Don't Have To Go Home Tonight,The Triplets,spotify:track:4T4SmH3nUX8FnxjAZ6RXE6
You Might Say,Sidsel Endresen,spotify:track:7daDjYbCplyzsZLr3rZH7i
Aces High,Demented Are Go,spotify:track:1K572dqyDxBrop6P5iuaAj
Body On Me,Nelly Featuring Ashanti & Akon,spotify:track:7hkbknrCTeWR7wEK4X4cvX
Buy Me A Boat,Chris Janson,spotify:track:2WKLUgklz0VDX5bKTZ3eYD
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,spotify:track:5JEx7HbmvHQQswJCsoo9rA
Cold Day In July,Dixie Chicks,spotify:track:2dtitppHZmA0MxLZ3Giq3o
Confessions Of A Broken Heart (Daughter To Father),Lindsay Lohan,spotify:track:0x7663BmBYv7m1ejUzXHfd
Every Road Leads Back To You,Bette Midler,spotify:track:2Rqjs2uSnjmbpAMG4T4G64
Exterminate Annihilate Destroy,Rotersand,spotify:track:7nkE8IOqy4ZYFIjpd3CQMa
Gimme Shelter,Sisters of Mercy,spotify:track:0hysrmGwswmVtf7BlBPmxC
Give It To Me Good,Trixter,spotify:track:3JHSUI91AZhxM1BZpxS8Ar
Hold On,Alabama Shakes,spotify:track:1EuvOdyyzhFUP2z3gfr6xz
How Did I Get By Without You?,John Waite,spotify:track:38IDDkncsXoh1Q0weShawp
I Just Wanna Be Mad,Terri Clark,spotify:track:3BcCqaxGznRqmB1BIerea2
I'd Rather Be With You,Joshua Radin,spotify:track:0FdQ98kOrGCnheoeZWayZm
La Modelo,Ozuna x Cardi B,spotify:track:2SbzdGpOKlH3HIAGTWTbwU
Life Is Too Short,Kai Tracid,spotify:track:3Fx10TNMymZHkK2WZ6b9AX
Messengers,Lecrae,spotify:track:5OExw3ycwqhQLlP8ULYsRT
Mirrors,Justin Timberlake,spotify:track:4rHZZAmHpZrA3iH5zx8frV
Mourn - APB Guitar Remix,Apoptygma Berzerk,spotify:track:1NT4sUNtwztvqL19yF966J
No Diggity,Nick Murphy / Chet Faker,spotify:track:2xD7RvKFJl52xyds3wQFXQ
Prästens Bekännelse,Björn Rosenström,spotify:track:4tW0KhSVtFrtxl8KQHGVEQ
Rushing Back,Flume,spotify:track:2zoNNEAyPK2OGDfajardlY
"Slow Motion (From ""Bharat"")",Shreya Ghoshal,spotify:track:7yEuRloGyxyu1KaWBTPP1Z
Unskinny Bop,Poison,spotify:track:1Z6lKdYhwp8WYoBqGCKxlM
We've Got Some News,VeggieTales,spotify:track:07KTvaLMl4EnFUG2pIFw6n
Whatever It Takes (To Make You Stay),Troop,spotify:track:7ypmnQBUevzJdnlUSmdndC
You & I,One Direction,spotify:track:2afCBiru10AFckfOa49wIa
You Can't Take The Honky Tonk Out Of The Girl,Brooks & Dunn,spotify:track:56LfnhlS3xvjtCpXWOxleW
Your Love,Keith Sweat,spotify:track:0KgbwF3wEBvPWPwwTLo9iR
Your Love,Midtown,spotify:track:2AqhwZEuXi6zyJYZo0L4q0
Act A Fool,Ludacris,spotify:track:28mv40MzspRZn0PBcO2itT
Am I The Same Girl,Swing Out Sister,spotify:track:2qHzerDfprIGTpgqyaNC1x
Better With The Lights Off,New Boyz Featuring Chris Brown,spotify:track:3wCSVS7KM9CIIHrChpabQ3
Carioca,Fender Rollers,spotify:track:3FRhSYoFK7lWX585zEQTr7
Cinderella,Ballet L'école,spotify:track:3jzHNQtOpCGDDgW8aAgZRT
Conqueror,Empire Cast Featuring Estelle & Jussie Smollett,spotify:track:7uQztXdiRLRu4YSviPqfD9
Drop Dead,Driveways,spotify:track:1tUcwqSoPi1b9xDxietEjy
Hanging On,Cheyenne Kimball,spotify:track:6Su4jst3IXkvneQb4OUiLE
House of 1000 Corpses (Bonus Track),Zombie Girl,spotify:track:5r3kPk769nRrqp7BUe5bfH
I Melt,Rascal Flatts,spotify:track:02UnamzTn2rySwzcMkq5qx
Influência Do Jazz,Carlos Lyra,spotify:track:1oqPYQbOlS7p3fjszG1DdK
Just A Fool,Christina Aguilera With Blake Shelton,spotify:track:6nS1vMV1zs8c0Lk6mud78D
La chanson des défenseurs de Moscou,The Red Army Choir,spotify:track:4FyNAqZAZ0bMpd36Y4g5dR
La chanson du défilé,The Red Army Choir,spotify:track:2oaKPppns1X4p7EXDWC3X1
Love In This Club,Usher Featuring Young Jeezy,spotify:track:5j0McHPthKpOXRr3fBq8M0
Malibu,Miley Cyrus,spotify:track:1UZOjK1BwmwWU14Erba9CZ
Mistletoe,Colbie Caillat,spotify:track:4BveoHoGwzJHuWn7TRtRrx
Monsters And Angels,Voice Of The Beehive,spotify:track:4SLY61BWDF7uZ8RcuuPDaE
Never A Time,Genesis,spotify:track:39GQI777IY2AxHtx36x7qS
Night Night Burn!,BABYMETAL,spotify:track:6g6smxWEU5RXjbVD0rtpxu
No Llega el Olvido,Jenni Rivera,spotify:track:2l8QQVT6hYdnT79kKCU6p6
Nookie,Limp Bizkit,spotify:track:1TEZWG1FdjzDdercCguTwj
Of Mind - Nocturne,TesseracT,spotify:track:7khQrdng5Zj4bkpS7sQr17
Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",spotify:track:4MRT0dDbhqFKl67WzhUbSw
Play with Fire (feat. Yacht Money),Sam Tinnesz,spotify:track:3KdwzVruKDwjzDqbIgDQdI
Psycho,Puddle Of Mudd,spotify:track:3e2KBwxibC1rq4bA5TNKW2
Scars To Your Beautiful,Alessia Cara,spotify:track:0prNGof3XqfTvNDxHonvdK
Someday,Rob Thomas,spotify:track:7uPQU7uKvsZZ7T9XnpBpFg
Someday,Rob Thomas,spotify:track:7uPQU7uKvsZZ7T9XnpBpFg
Subliminal Heavy Metal - Original Version,Carnifull Trio,spotify:track:2UvgupGVaCx11Xzd9TQt7J
Sweet Nothing,Calvin Harris Featuring Florence Welch,spotify:track:24LS4lQShWyixJ0ZrJXfJ5
The Town I Live In,McKinley Mitchell,spotify:track:5kZkP5HxRmFHfTmwO2KOvm
Top Off,"DJ Khaled Featuring JAY Z, Future & B",spotify:track:1W6wxOOYyJyyok8fqYSZ3m
Wild World,Mr. Big,spotify:track:2kj5f1eRhUFhW6K0qUwoD8
April Kisses,Eddie Lang,spotify:track:3XrVpk9SxBzkw9zfvYsH7R
Bales Of Cocaine,The Reverend Horton Heat,spotify:track:2AiFJz6alFmSiBomgYoEPq
Bassboxxx Clique,MOK,spotify:track:5xBtnfN3M5hRRz6EmfTnPg
Dancin' Away With My Heart,Lady Antebellum,spotify:track:06EoiPK0mH3PHxH2BKNAJx
Don't Laugh At Me,Mark Wills,spotify:track:2nWKk3ACZN7exdamcHvGMU
Evier métal,Ultra Vomit,spotify:track:0jCAWPjIp5tXVzpHkRNlbN
Fleur de métal - Live,Jad Wio,spotify:track:7wZ8G6fHhrOwme1m8azwit
Forever - Original Club Mix,Bruderschaft,spotify:track:47Gqy79zgQgvqIvjpkAcXE
Here And Now,Luther Vandross,spotify:track:042pmCix7CPth3l3X28jl1
Hide Your Heart,KISS,spotify:track:47o525G86mLspoGnUCaMd9
I'm Goin' Down,Mary J. Blige,spotify:track:0I5mUa3CZPcsrWwlUmTWkV
Improvisation #2,NRG Ensemble,spotify:track:22qFvidlRGLutT0JkZq0rc
Listen,Collective Soul,spotify:track:44Razg2DEDwDwmOY6Rh58x
Mine Would Be You,Blake Shelton,spotify:track:1zvQt99d5oTkEQLmSoO1yu
Misirlou - Remastered,Laurindo Almeida,spotify:track:1RslTh1c3KGURkNULxE5N1
My Frenz In',Shatta Wale,spotify:track:5xrddJnLyUMyI6wNC0k99r
Party Monster,The Weeknd,spotify:track:4F7A0DXBrmUAkp32uenhZt
Per Ulv,Terje Rypdal,spotify:track:1UoE4X40cl8dNcuy37inbV
Potential Breakup Song,Aly & AJ,spotify:track:11dxtPJKR4E0wlSr0A0t47
Raised On Country,Chris Young,spotify:track:6voi5xnLs9JKmWG2oLmgDU
Shallow,Lady Gaga & Bradley Cooper,spotify:track:2VxeLyX666F8uXCJ0dZF8B
Superstar,Lupe Fiasco Featuring Matthew Santos,spotify:track:7dltD9eEX7X1zk8JJ9BS0e
Tendu - Turkish March for Ballet Class,Ballet L'école,spotify:track:7g9B2Tclp57gucfCjPoc3h
The Bass-Line Generator,Raymond Scott,spotify:track:7iyzuMwMFMO7xj7QOpJ0DV
What Hurts The Most,Cascada,spotify:track:3OW3uDpM7mgLe3xU6EYX5q
Wherever You Are,Jack Ingram,spotify:track:1uRvF355jFHDKrsUWEXkRF
Wrong Baby Wrong,Martina McBride,spotify:track:0F9BbXn7zjDkM6SRJvkBOd
Animal,Glee Cast,spotify:track:6TyirQafPuawKfoKtJh5rE
As Long As You Love Me,Justin Bieber Featuring Big Sean,spotify:track:0pwYLVXVknPSGUQb39cePC
Crooked Smile,Hella,spotify:track:0hXInI3PSbNNHDu2NbQGiU
Don't Stop,5 Seconds Of Summer,spotify:track:57MOpbjOIoWMZnstWOtfm6
Hold On,Jamie Walters,spotify:track:2kQLJexCx8wPTAqK0x0ijO
How Far I'll Go,Auli'i Cravalho,spotify:track:6mb6lVLNrcUgLnEN8QnDJd
I Feel Alive,Bayside Worship,spotify:track:5rdJtae8pxZj3dwpIDNvQL
I'm Feeling You,Santana Featuring Michelle Branch & The Wreckers,spotify:track:0n3hdlinZYNly8NqAtvJHu
Just The Girl,The Click Five,spotify:track:1JURww012QnWAw0zZXi6Aa
Kiss Tomorrow Goodbye,Luke Bryan,spotify:track:4ZF2WDTBVFihfTkxfme8JE
Klavierstück III,Karlheinz Stockhausen,spotify:track:5fVBakzpZniYqFl979SzO3
Landslide,Dixie Chicks,spotify:track:5hviCr3lgg6LY6noG6DPKs
Love Me,Justin Bieber,spotify:track:0pwYLVXVknPSGUQb39cePC
Love Of My Life (An Ode To Hip Hop),Erykah Badu Featuring Common,spotify:track:0ieS2bue78yadTdPiyzsaO
Luckiest Man,The Wood Brothers,spotify:track:26uHwSHlaK5mskSMhbRod3
May the Glory of the Lord,Glad,spotify:track:3qH0sYU86l749kpTWAVjgp
Metal Warriors,Manowar,spotify:track:5P2Ghhv0wFYThHfDQaS0g5
Mockingbird,Rob Thomas,spotify:track:4L9J2or96xvWhQwWw09fHO
Priests Of Sodom,Cannibal Corpse,spotify:track:6m5EVmAlKhJwbQCT3xN5Kt
Revolution - Tune Up! vs. Cascada Radio Edit,DJ Klubbingman,spotify:track:0ieXYIBp9kBIpSUSC0u57S
Runaway,Kanye West Featuring Pusha T,spotify:track:3DK6m7It6Pw857FcQftMds
Sex in Church,SadDoLLs,spotify:track:4wPMpan9nwaP6t71lKuRq7
Shattered (Turn The Car Around),O.A.R.,spotify:track:0J3MfW6wwIBqC4zjp5AbQL
Someday Out Of The Blue,Elton John,spotify:track:1MtLyoONKfK41bQONcARsn
Speed,Alpha Team,spotify:track:4RknwcXE2mMJTx3KkBriTO
Star Spangled Banner,Miri Ben-Ari,spotify:track:4AXsoK9WFwBwAc3BX4oFlG
Take Me Home,Cash Cash Featuring Bebe Rexha,spotify:track:2zMXH5k5NZy1Nw460bLvRh
The Freshmen,The Verve Pipe,spotify:track:21jEuMn2lf37715rwjow2M
This I Believe (The Creed),Holy Communion Instrumental Duo,spotify:track:3Zp9FCge0jQK21EwO3HElc
Through The Wire,Kanye West,spotify:track:4mmkhcEm1Ljy1U9nwtsxUo
Un Beso de Desayuno,Calle 13,spotify:track:4NXb9ohwcrT5hZ3HOdIN7c
'Til Summer Comes Around,Keith Urban,spotify:track:1CKmI1IQjVEVB3F7VmJmM3
A Day To Be Alone,One Less Reason,spotify:track:7sMXMS8qq5EKqpInERPMDm
Anytime You Need A Friend,Mariah Carey,spotify:track:0S8xKy1efKy3LvR53qe3Cq
Aston Martin Music,Rick Ross Featuring Drake & Chrisette Michele,spotify:track:5W7xC99N2Zzfh69r7I7zWK
Buttons,The Pussycat Dolls Featuring Snoop Dogg,spotify:track:3BxWKCI06eQ5Od8TY2JBeA
Crawling In The Dark,Hoobastank,spotify:track:3wli6CFsUwYEuLZTIuCwt3
Crush,David Archuleta,spotify:track:4wCD0qOFNRu1Q6O3N6ycm4
Everything,Jody Watley,spotify:track:5p4xF15jnsw1rfi55Gv1lU
F**kin' Perfect,P!nk,spotify:track:3MGJF1CDFGfjXESL2Heva0
Forked Deer,Jeff Autry,spotify:track:4cK5rFaJiG5tXGrEAi6Ij2
Have You Ever Really Loved A Woman?,Bryan Adams,spotify:track:32Gf5A7Hr8RdgggXG0Fdks
Hell Breaks Loose,Eminem Featuring Dr. Dre,spotify:track:0FXfAepEmqVCMnvOpb8Hoj
It's Over Now,L.A. Guns,spotify:track:3rluVnhSc8jYfRhIRxxr6h
Just For Tonight,Vanessa Williams,spotify:track:50H6z12Lesm74dBLlaHwqs
Kiss Somebody,Morgan Evans,spotify:track:4f3fb3alVLFc8Ga4ncpg7x
Love Me If You Can,Toby Keith,spotify:track:1OIxqnC2Bc8fN91XSxQ8HX
Move,Luke Bryan,spotify:track:6qoH2pKeEibNUG1pnJIjmZ
My Sin - 1998 - Remaster,Hank Mobley,spotify:track:5hLIo1O9w1aaRmJXRmFa3C
Oh Girl,Paul Young,spotify:track:0YqhqbLNpfQetrwuLaVTiK
Omigod You Guys,Annaleigh Ashford,spotify:track:2av1BBGdN9DW1u7rvoRhMM
Physical Education,Animals As Leaders,spotify:track:0JGuSgtmWyfuxLGBs2wX0C
Positive Progress,Andy Clark,spotify:track:0ygbBtOG7JGMGx82dYJ7d5
Pray,Justin Bieber,spotify:track:3O5zp6tOdGFWi0NdzC0frI
Remember When,Color Me Badd,spotify:track:1qlytTdL89gQe4hOMAPtGp
Songs About Rain,Gary Allan,spotify:track:0PD211kSLtAZ76OSHtMOnJ
Temptation (Traditional Folk),Rajhesh Vaidhya,spotify:track:7cnHChHcatX4ttY6npmOqp
That's Why I Pray,Big & Rich,spotify:track:6WDjQq0Noeji2O3bFfFsNW
Victorious,Panic! At The Disco,spotify:track:6od5hFv9IT5JHc7NEF9HRv
A Song For Mama,Boyz II Men,spotify:track:6FuJokk9FHx0E00SZ8ib8X
Blue Aphrodite,Jens Buchert,spotify:track:5ovM96XM7jgTMTLh5Cixel
Broken Arrow,Rod Stewart,spotify:track:2AqYChOhWOS3MQWqQPH2z1
Cazuela de Rock,Tabletom,spotify:track:6L5ewYsiGeeWkzsf0BUbVr
City Rock,Francis Lai,spotify:track:7EDuGscj9EyR9FW3G9UKo9
Come With Me,Shai,spotify:track:09s7AzC1vXpkIBS8xphJgP
D.O.A. (Death Of Auto-Tune),JAY-Z,spotify:track:5kMsjfhYMZ1L9Btuu0AIRx
Drifting,Jesse Taylor,spotify:track:077Zm72zTEBvqYxvcBNUes
"French Ouverture, BWV 831",Johann Sebastian Bach,spotify:track:5uU76OPjGYCUJXT52u1TRQ
If My Heart Had Wings,Faith Hill,spotify:track:7CWUSZqFXxoWrOCP5I3tpd
Keep The Faith,Bon Jovi,spotify:track:5EWtBjCLy21d1hY9zdaEe8
Love,Musiq Soulchild,spotify:track:6uSa5iCMwPr10Ftpz8w09b
Metal Firecracker - WXPN Live At The World Café,Lucinda Williams,spotify:track:5M3cWmgUE71Wdsu9ar1qT8
Mitt piano,Jan Johansson,spotify:track:3CjixTx3gAbHZrIUR3jNJX
Nus Là-Bas,Tété,spotify:track:5Z8Bx4xZLVRFi2LLq0kYrX
Often,The Weeknd,spotify:track:4PhsKqMdgMEUSstTDAmMpg
One Sweet Day,Mariah Carey & Boyz II Men,spotify:track:7ySbfLwdCwl1EM0zNCJZ38
Osmosis,Moebius,spotify:track:4KimVd8rIa4vjQ2oi0MSVA
Over Now,Post Malone,spotify:track:09IOPhEh1OMe0HD9b36FJk
Piano Impromptu,Dick Walter,spotify:track:4z4ndE8Yn5rSzxlTa3E0Zf
Right By My Side,Nicki Minaj Featuring Chris Brown,spotify:track:2bgW1SJqUjIkWcbxTPTIdy
Rock do Relógio,Joelho De Porco,spotify:track:1NQr4qutfS7eQZk5kEfxvD
Rosas Rojas,Industria del Amor,spotify:track:4Yu2U0ItuhN1eZ5rA5wAtZ
Seventeen Forever,Metro Station,spotify:track:1v0E30pA3wOBXuDxfsyOPa
She's A Hottie,Toby Keith,spotify:track:5SD2dutv5rJM4Q8hlnC2QK
So Seductive,Tony Yayo Featuring 50 Cent,spotify:track:12gBGNIMNwXnr2yTMHmawU
Somewhere On A Beach,Dierks Bentley,spotify:track:5CG9Ps5ynNjpKJHmwc95pa
Streets Is Callin' (feat. Diamond D & Jaysaun),Edo. G,spotify:track:1UaiqvFyXn8UEZwh6DdwB0
Taking You Home,Don Henley,spotify:track:114ZIcx0S3gJkZmT3wmGte
The Last Samurai,Koan,spotify:track:5YQRdNi0l6LZ9M9enUMS0t
Timeless,A Boogie Wit da Hoodie Featuring DJ SPINKING,spotify:track:0q5DrtpnnGpOvBy5nnPMbe
We're Not Making Love No More,Dru Hill,spotify:track:0fW2lTbzO1dcd2uahQUtwV
When I See U,Fantasia,spotify:track:4iuNZTcvT9diFySSzVsnVS
Winter of a Life (Bonus),Lalu,spotify:track:0EHIr8I458ieMbWnlWAOcM
Winter Wonderland,Red Garland Trio,spotify:track:55wJTnZZLYiUNq3mm8CrCX
Won't You Be My Lollipop,Willie Clayton,spotify:track:24EPnsUrTk7HgjF85e7cdL
You'll Be In My Heart,Phil Collins,spotify:track:6kvnSiMBa65Nz29g2TYmyW
Artificial Life,Save Ferris,spotify:track:3bJJdWF3KDdhdd6ZXLx4Xz
As If,Sara Evans,spotify:track:5ZikjYD4kjkwYRhLO8azoD
Ass Up - Ic3m4n Remix Short,Baracuda,spotify:track:3n3GlMJyYiQWHZx6mmxGrA
BEST ON EARTH,Russ & BIA,spotify:track:2Xo3rLHjXfdb4avN68aQyi
Boston,Edo. G,spotify:track:1n6YasJJW0Lo1MRywx3JYV
Boston,Edo. G,spotify:track:7ehmKUoFpBAbilSQNSIEWK
"D.Shostakovich. Comic Waltz from the music for the performance ""The Baroness and the Hooligan""",Dmitri Shostakovich,spotify:track:3Isu9AGQKSkSho5aP2VhEp
Deck The Halls,SHeDAISY,spotify:track:3MAQlKrBxFN5QXR7SqxYQh
Die In Your Arms,Justin Bieber,spotify:track:23taOWrpWaAtU8rVN7hiNu
Don't Stop,Blessed By A Broken Heart,spotify:track:6p8jcRi3rRHOH856avO6a6
Drinking in L.A.,Bran Van 3000,spotify:track:4WEaJQLlhlkOU7YJDLhn7x
Drowning,Backstreet Boys,spotify:track:0AiTIiCQ15NW8QHQwSxKuR
Een Meisje Van Zestien,Boudewijn de Groot,spotify:track:3ntrvzOEzYbh24qdUqCLAK
Eisplanet,Beborn Beton,spotify:track:3bsppXPF0SbjNHs2w8N4zZ
Electricity,Apoptygma Berzerk,spotify:track:1W66ipkDErMt8s9Ht5e2cB
"Era um Garoto, Que Como Eu, Amava os Beatles e os Rolling Stones",Engenheiros Do Hawaii,spotify:track:5HDlh6UhT3AMQs935wE1qr
Father Of Mine,Everclear,spotify:track:2hx4ptqsE8dboLH3NCLmaN
FOLK SONG OF BANGLADESH,Badal Roy,spotify:track:4uI3LValSc5l6thizRRZRF
Hillbilly Deluxe,Brooks & Dunn,spotify:track:1BMhbPsW66IXqksKC8jrCf
How Can You Expect To Be Taken Seriously?,Pet Shop Boys,spotify:track:0rgdUmMZzwmZyZI2fCEhsv
Hurt,The Mobile Homes,spotify:track:4BqdmKzvttR1dq0mdqPdKG
I'm Leaving,Aaron Tippin,spotify:track:7k5av5sKePQfO6IYC1rUCF
Island,The Starting Line,spotify:track:3KZg1OMDxddaXKgGSJ3xVK
Lisa's Passion for Heavy Metal,Mattias IA Eklundh,spotify:track:7jPKi8cqA0pbzc9J8DV5Qc
Marry Me,Jason Derulo,spotify:track:3ogtSrlbtiTamktbA0hw0E
Mean,Taylor Swift,spotify:track:5yEPktRqvIhko5QFF3aBhQ
Ohio Is for Lovers,Hawthorne Heights,spotify:track:6QfnvcOKsdN4Q6exUWVuzn
Old Dreams and Memories,Mahogany,spotify:track:0zf6TFmXORGLIkLy5PZuHo
One Minute,XXXTENTACION Featuring Kanye West & Travis Barker,spotify:track:0T6RSXxFhW8dRTWHI604ld
"Papaya - Colonna sonora del film ""La polizia ha le mani legate""",Stelvio Cipriani,spotify:track:271g5wz5wpxPOuaQkXeMmm
Precious,Depeche Mode,spotify:track:3c4bJL7mARZvd387847GsC
Prikkebeen,Boudewijn de Groot,spotify:track:7qHuC8Hvc7yWbuCeueh0SR
Raining On Sunday,Keith Urban,spotify:track:0capI6Wr0SYGiZ4fxvz5Gq
Right Here (Departed),Brandy,spotify:track:06G1SCVVYRSDCFGMSnDvpv
Rock para el Negro Atila,Patricio Rey y sus Redonditos de Ricota,spotify:track:1JQOUueUnq9xoUcI1MiVVy
Sail Away (DJ Storm & Euphony Remix),Bang!,spotify:track:5g5BnOwWVjJyT28BolPJNk
Samajavaragamana,Sid Sriram,spotify:track:3j9DrRebdWK1jkpOw9FZUy
Sismo,División Minúscula,spotify:track:74RbuwSLTpIKA0RqOo5msR
Sognare,División Minúscula,spotify:track:3EYPZf5gtyU9suVqTWChzk
Strip Me,Natasha Bedingfield,spotify:track:4vj4okOxlFrGPaXd5nytPl
Take My Breath Away,Jessica Simpson,spotify:track:7AHZb0GnILBBitj0MxObO5
The Beast Within,Blood Ages,spotify:track:2ap2c6g8j7VYfp6gt8jbGU
The Best Things In Life Are Free - Remastered,Jo Stafford,spotify:track:6llowVRsOvY2sidPX6DFD4
Touch My Light,Big Mountain,spotify:track:4JfwY47pEF4y5BJDCPoVGP
Tour De Force,Dizzy Gillespie,spotify:track:31mHGkxzi4Looti1NVQ42N
Troubadour,George Strait,spotify:track:4qjmnM1aYvayCTDd0uuRKH
Upon a Christmas Night (Single Version),Michael Learns To Rock,spotify:track:7Bc6qhRQfoSvrtTtnbl8XR
Vice,Miranda Lambert,spotify:track:4Qtw0HNKSbIRT5sWUnbRXc
Vim,Raymond Scott,spotify:track:5enkG881c3LAOnp10SbCXO
Wait For You,Bonham,spotify:track:0LdPlZKpROaZMLkR0CBpz2
We Will Rock You,Ludwig Von 88,spotify:track:05c8D07ZWZuoD8rPr8fgy8
Where You Been,The PropheC,spotify:track:4xpQJf8ynF5jabT9K3ZhHG
Why,Jason Aldean,spotify:track:65Jn2gZWMren03Rz0fCMqs
Wound,The New Black,spotify:track:5ypAIyByyGRFh0CKUyjfJd
XXX.,Kendrick Lamar Featuring U2,spotify:track:4iYRa2btalAzPZoSYfROqF
5 for Her 3 for Him,The Meteors,spotify:track:52oEcjpoWvTqVzzJXZmaI5
Babylon,Oneohtrix Point Never,spotify:track:0GNOV2aEFqS3qOXfQEhEuq
Be Bop,Kenny Dorham,spotify:track:57cXgiWaAOK9iTIvrtjzYU
Bunnies,Pansy Division,spotify:track:5qneRJwocbutMZIoM0FdCV
Can't Get You Off My Mind,Lenny Kravitz,spotify:track:7bk6iZ5dsrMySXB0aVFYXO
Crystal Dolphin,Engelwood,spotify:track:6kx8Hf1Udk4V0Ivq6zpoyG
Electricity (as made famous by OMD),Apoptygma Berzerk,spotify:track:1k6CD7AKuLf1RE3Wv5Xwfj
Every Summer Night,Bob Curnow's L.A. Big Band,spotify:track:074xCZwd1zLHcCglEQkNhT
F.N,Lil Tjay,spotify:track:0RLLvYBopDwooCyvnTwgYu
Female,Keith Urban,spotify:track:1t34UsQ634a233qysq6D6L
Happy Little Pill,Troye Sivan,spotify:track:4z8Ll8nU1jMqB8HvKTyLP1
Here's That Rainy Day,Astrud Gilberto,spotify:track:5Sh5qh9COpb7zbiP4kyW0Z
Hip-Hop Music,Phanatik,spotify:track:1WPacZsM1WIIsKzGJFkMm8
"Horn Concerto No. 3 in E-Flat Major, K. 447 (arr. C. Lindberg): III. Allegro",Christian Lindberg,spotify:track:6PUIjv8nKQBCoyygmCEYK5
I Couldn't Beat The Rap,Dizzy Gillespie,spotify:track:3ByOzf7SOGLh1VVbsiXMsE
I See It Now,Tracy Lawrence,spotify:track:4h1oxHwo7BD2Yjv4g6WQ42
I Write Sins Not Tragedies,Panic! At The Disco,spotify:track:4bPQs0PHn4xbipzdPfn6du
I'll Make Love To You,Boyz II Men,spotify:track:61sQYdFNS6sEBYCyr1q5gn
If This Isn't Love,Jennifer Hudson,spotify:track:0o6IWuQ9Uxt69jKdVZ1eg2
In Metal,Primal Fear,spotify:track:2Jt6bfaMTRFUf2Q23hXN0N
Jack Introduces Don't Think Twice,Ramblin' Jack Elliott,spotify:track:2DKaYaAYW957D5zZ7WwLX3
Let's Get Away,T.I.,spotify:track:7pjl3P3jnqdItN1beCrJS1
Lights Come On,Jason Aldean,spotify:track:4llYMkhHa1w7UAdDFRQcEZ
Paroles paroles,Dalida,spotify:track:4VvTGipG8YaF09z0kfGqaD
pictures feat. Kacey Musgraves,Judah & the Lion,spotify:track:1zZIVe9x0JhdhpuQjLTjIM
Riverside Special,African Jazz Pioneers,spotify:track:5eAOYzJ9q6Q7Z25Yml5UTc
Roll To Me,Del Amitri,spotify:track:7LF0YY1gON8rBECsyEs0Wb
Schism,Tool,spotify:track:55mJleti2WfWEFNFcBduhc
Suddenly,Afterlife,spotify:track:2S3blQnjccLdbQyQzbny4z
Superhero,Daze,spotify:track:5w24xZUicD68LjnZvtougC
The Grand Tour,Aaron Neville,spotify:track:2Gq4nzbV9bDcwfqChVJSnA
The Poor People Of Paris (Jean's Song) - Single Version,Les Baxter,spotify:track:70gZnClysSHCBwI0H4qr5O
There Will Never Be Another You,Lester Young,spotify:track:5uQkJU8FDt9srkxKfKRiBN
Too Many Times,Kai Tracid,spotify:track:6mWzstiuBcEhrICmBw4Bti
Walking In Memphis,Marc Cohn,spotify:track:5fgkjhICZnqFctrV0AyuQD
Yeah Yeah U Know It,Keith Murray Featuring Def Squad,spotify:track:5esehebwL9cDOzsQ2xuO2j
