track,artist,uri
Interesada,Maicol y Manuel,spotify:track:0VBjwmVVLDNbq32aefz7Sh
Shake That Monkey,Too Short Featuring Lil Jon & The East Side Boyz,spotify:track:3XabgBQYC7H80agKcAq83Y
Expression,Salt-N-Pepa,spotify:track:1lXs8UWoQr7wMjHdxQI2XA
Ghost Dub,Chris Lorenzo,spotify:track:0ftypRJIWIunKRAAkaK2so
Gucci Gang,Lil Pump,spotify:track:43ZyHQITOjhciSUUNPVRHc
I'm Different,2 Chainz,spotify:track:6J5sxraPPZ4b0CVOGAgpXj
Narcos,Migos,spotify:track:0wbnC9AUenxp613TYaJsGK
Nu Nu,Lidell Townsell,spotify:track:0qMUoCJmSPCjeej1d6g85A
Red Room,Offset,spotify:track:4TWflhgevIGo448fWc6mQq
"Twinkle, Twinkle, Traffic Light",Kimbo Children's Music,spotify:track:3H9otsCmjUDGar2zHDYPnP
X,Xzibit,spotify:track:5stZnlPMYz3Ba8Hbo3ajlP
Beep,The Pussycat Dolls Featuring will.i.am,spotify:track:5TXNLJ2EENAt3Tf9MX4kT2
Faucet Failure,Ski Mask The Slump God,spotify:track:1ThmUihH9dF8EV08ku5AXN
Take It To Da House,Trick Daddy Featuring The SNS Express,spotify:track:1wLhwzPAtze5JT8qqXlqaO
Whistle While You Twurk,Ying Yang Twins,spotify:track:1LMAQunVS6Dq8wEqQnsL8Y
Check Yo Self,Ice Cube Featuring Das EFX,spotify:track:3NGT0Td7H4Is1qrlDQJxma
Come Get It Bae,Pharrell Williams,spotify:track:24MSdaNRlLgjp8xYeJeXwZ
Esskeetit,Lil Pump,spotify:track:44KKhCyI0BGS6LvVyDqJtH
Got Your Money,Ol' Dirty Bastard Featuring Kelis,spotify:track:6YYd5MLpu45J0uLrMdivF7
Got Your Money,Ol' Dirty Bastard Featuring Kelis,spotify:track:6YYd5MLpu45J0uLrMdivF7
Me Too,Meghan Trainor,spotify:track:3KwwE4sgCzMaKWq6QBebmX
Signs,Snoop Dogg Featuring Charlie Wilson & Justin Timberlake,spotify:track:4HSAJpNocVNJbwbQvtCMdO
I'm A Thug,Trick Daddy,spotify:track:6j2aNuhJJUnRj6UHcvn5PI
Wait (The Whisper Song),Ying Yang Twins,spotify:track:5Y78yINSOCW6xbOfGWNBg4
223's,YNW Melly & 9lokknine,spotify:track:4sjiIpEv617LDXaidKioOI
Treat 'Em Right,Chubb Rock,spotify:track:2QHmGfplU3ypWOGgJM46in
WTF (Where They From),Missy Elliott Featuring Pharrell Williams,spotify:track:7IAa7vUJ11STN7le8XaxsH
Don't Drop That Thun Thun!,The FiNATTiCZ,spotify:track:77doqkS2s213W6AKgPC6Xj
FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,spotify:track:2l8nEO0vsTRCRnGqQty6qx
Go Future Funk Yourself,ConsciousThoughts,spotify:track:76EGpPUPA6m2QYPlLRIv3W
Mood,Joey Trap,spotify:track:7Iu925FnMDtaEMamqR5wie
Pimp Of The Year,Dru Down,spotify:track:5f8KgDZ8aQKQii0U1qdRbC
So What,Field Mob Featuring Ciara,spotify:track:0Uc706myy6Th7I6KQ9xA1x
You're A Jerk,New Boyz,spotify:track:30QbrkRLEimw7HWXb7ntrU
Change The Game,"Jay-Z, Beanie Sigel And Memphis Bleek",spotify:track:5Vyw16U5k4bpGaRqfzyyMo
If You Want It,2nd II None,spotify:track:5MGSSlI7LQxTJ2IJsyRDlq
Make Her Say,Kid Cudi Featuring Kanye West & Common,spotify:track:7dZAPeA3Of5j5Vaef0DQ6M
Step Daddy,Hitman Sammy Sam,spotify:track:1TKRumlRMXv2SEKPhueya0
Surf,Young Thug Featuring Gunna,spotify:track:4bDucmQDna7svslTkXP0YR
Rack City,Tyga,spotify:track:0srwKuJPH8yBzzFUJMBQM2
raingurl,Yaeji,spotify:track:4gRAniZdYF2zVrDUsNC9tU
That's What I'm Looking For,Da Brat,spotify:track:3hVNySmPHrzsrpwxL3j6vT
Balla Baby,Chingy,spotify:track:6HFXjB2fvQUBuE3B5kmvfW
Can't Nobody Hold Me Down,Puff Daddy (Featuring Mase),spotify:track:1EM23A621Z0QyTlWKu7T1l
Fake Love,Drake,spotify:track:343YBumqHu19cGoGARUTsd
I Wonder If Heaven Got A Ghetto,2Pac,spotify:track:2dKxXi4c1Y8sbcxavCbkfb
Toss-Up,N2Deep,spotify:track:3Ur8GNH5ozopmnMpxft44e
A.D.I.D.A.S.,Killer Mike Featuring Big Boi,spotify:track:4Ol9JFw2Icl79oTqH1sG4t
Bad And Boujee,Migos Featuring Lil Uzi Vert,spotify:track:4Km5HrUvYTaSUfiSGPJeQR
Black Ice (Sky High),Goodie Mob Featuring Outkast,spotify:track:0Uu8BPsWQGZk5AiRN3uBwn
Culture,Migos Featuring DJ Khaled,spotify:track:4Km5HrUvYTaSUfiSGPJeQR
Macarena,Los Del Rio,spotify:track:4oaj36KzXRgDg4McgcTsZK
Soul Food,Goodie Mob,spotify:track:0oipDSP2WW7wf5NeEjVxgK
THat Part,ScHoolboy Q Featuring Kanye West,spotify:track:2yJ9GVCLMmzBBfQAnfzlwr
Wat Da Hook Gon Be,Murphy Lee Featuring Jermaine Dupri,spotify:track:6njG8EYG1lrROn8P6q46eq
Baby Got Back,Sir Mix-A-Lot,spotify:track:1SAkL1mYNJlaqnBQxVZrRl
